,Account ID,Full Account ID,Full User ID,Owner AMA / AUM,Connect 2021 from Opty,Connect 2021,Connect 2020 from Opty,Connect 2020,Connect 2019,Account Currency,JUNO Account ID,Kaseya Market Segment,Auto Renewal Op Out,# of Closed Won Opportunities,Account Record Type,Type,Last Activity,Last Modified Date,"Owner Type (1 IS AMA, 0 IS NOT) ",Row Labels,Min of Effective_Start_Date__c,Max of Effective_End_Date__c,Max of Effective_Start_Date__c,Current State,1 -> Renewable 0 -> Evergreen,Duration
1601,0013a00001ZzQ6M,0013a00001ZzQ6MAAV,0053a00000PATyDAAX,AUM,0,0,0,0,0,USD,9133.0,MSP,0,3,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ6MAAV,8/12/2020,8/11/2022,10/14/2021,Renewable,1,729
1602,0013a00001ZzQ6S,0013a00001ZzQ6SAAV,0054w00000AWKwaAAH,AUM,0,0,0,0,0,NZD,5052.0,MSP,0,2,End User,Customer,2/10/2022,2/10/2022,0,0013a00001ZzQ6SAAV,5/7/2018,,5/7/2018,Evergreen,0,1375
1603,0013a00001ZzQ6a,0013a00001ZzQ6aAAF,0054w00000AWSEvAAP,AUM,0,0,0,0,0,USD,6308.0,MSP,0,6,Reseller,Customer,2/8/2022,2/10/2022,0,0013a00001ZzQ6aAAF,12/4/2018,12/3/2023,12/4/2020,Renewable,1,1825
1604,0013a00001ZzQ6d,0013a00001ZzQ6dAAF,0054w00000AWUTxAAP,AUM,0,0,0,0,0,USD,6201.0,MSP,0,1,End User,Customer,1/19/2022,11/29/2021,0,0013a00001ZzQ6dAAF,11/29/2018,,11/29/2018,Evergreen,0,1169
1605,0013a00001ZzQ6j,0013a00001ZzQ6jAAF,0053a00000K45ZlAAJ,,0,0,0,0,0,EUR,867851000000000.0,MSP,0,3,End User,Customer,12/10/2021,2/9/2022,0,0013a00001ZzQ6jAAF,11/23/2018,,11/23/2018,Evergreen,0,1175
1606,0013a00001ZzQ6k,0013a00001ZzQ6kAAF,0054w00000AR21qAAD,AUM,0,0,0,0,0,USD,4877.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ6kAAF,3/27/2018,11/27/2022,11/27/2021,Renewable,1,1706
1607,0013a00001ZzQ6m,0013a00001ZzQ6mAAF,0054w00000AWX2LAAX,AUM,0,0,0,0,0,USD,6152.0,MSP,0,1,End User,Customer,1/24/2022,2/10/2022,0,0013a00001ZzQ6mAAF,11/27/2018,,11/27/2018,Evergreen,0,1171
1608,0013a00001ZzQ6o,0013a00001ZzQ6oAAF,0054w00000AWSE2AAP,AUM,0,0,0,0,0,USD,6236.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ6oAAF,11/30/2018,,11/30/2018,Evergreen,0,1168
1609,0013a00001ZzQ6r,0013a00001ZzQ6rAAF,0053a00000K45ZlAAJ,,0,0,0,0,0,EUR,457104000000000.0,MSP,0,1,End User,Customer,12/10/2021,8/20/2021,0,0013a00001ZzQ6rAAF,2/5/2018,,2/5/2018,Evergreen,0,1466
1610,0013a00001ZzQ73,0013a00001ZzQ73AAF,0053a00000K45ZlAAJ,,0,0,0,0,0,EUR,873829000000000.0,MSP,0,1,End User,Customer,12/10/2021,8/20/2021,0,0013a00001ZzQ73AAF,11/27/2018,4/23/2020,11/27/2018,Evergreen,0,513
1611,0013a00001ZzQ76,0013a00001ZzQ76AAF,0054w00000AR30oAAD,AUM,0,0,0,0,0,USD,2781.0,MSP,0,20,End User,Customer,1/25/2022,2/10/2022,0,0013a00001ZzQ76AAF,1/11/2017,4/29/2024,5/11/2021,Evergreen,0,2665
1612,0013a00001ZzQ7M,0013a00001ZzQ7MAAV,005f100000HIKqoAAH,AMA,0,0,0,0,0,USD,4594.0,MSP,0,4,End User,Customer,10/26/2021,2/7/2022,1,0013a00001ZzQ7MAAV,1/23/2018,8/22/2021,8/23/2021,Evergreen,0,1307
1613,0013a00001ZzQ7N,0013a00001ZzQ7NAAV,0054w00000AWOdwAAH,AUM,0,0,0,0,0,USD,7591.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ7NAAV,9/17/2019,9/16/2023,9/17/2020,Renewable,1,1460
1614,0013a00001ZzQ7T,0013a00001ZzQ7TAAV,0053a00000PATyDAAX,AUM,0,0,0,0,0,USD,3064.0,MSP,0,1,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ7TAAV,3/3/2017,,3/3/2017,Evergreen,0,1805
1615,0013a00001ZzQ7W,0013a00001ZzQ7WAAV,0053a00000PeLNEAA3,AUM,0,0,0,0,0,USD,295.0,MSP,0,1,End User,Customer,1/20/2022,2/3/2022,0,0013a00001ZzQ7WAAV,5/27/2015,,5/27/2015,Evergreen,0,2451
1616,0013a00001ZzQ7Z,0013a00001ZzQ7ZAAV,0054w00000AWViUAAX,AUM,0,0,0,0,0,USD,255.0,MSP,0,3,End User,Customer,2/8/2022,2/10/2022,0,0013a00001ZzQ7ZAAV,5/17/2015,,12/16/2020,Evergreen,0,2461
1617,0013a00001ZzQ7e,0013a00001ZzQ7eAAF,0054w00000AWX2GAAX,AUM,0,0,0,0,0,USD,6226.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ7eAAF,11/30/2018,,11/30/2018,Evergreen,0,1168
1618,0013a00001ZzQ7f,0013a00001ZzQ7fAAF,005f100000HIKqoAAH,AMA,0,0,0,0,0,USD,6520.0,MSP,0,1,End User,Customer,1/19/2022,2/10/2022,1,0013a00001ZzQ7fAAF,2/7/2019,,2/7/2019,Evergreen,0,1099
1619,0013a00001ZzQ7l,0013a00001ZzQ7lAAF,0054w00000AR3YHAA1,AUM,0,0,0,0,0,USD,4716.0,MSP,0,0,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ7lAAF,2/14/2018,,2/14/2018,Evergreen,0,1457
1620,0013a00001ZzQ7o,0013a00001ZzQ7oAAF,0054w00000AWViUAAX,AUM,0,0,0,0,0,USD,608.0,MSP,0,7,End User,Customer,1/25/2022,2/10/2022,0,0013a00001ZzQ7oAAF,9/9/2015,12/1/2022,12/2/2019,Renewable,1,2640
1621,0013a00001ZzQ7w,0013a00001ZzQ7wAAF,0054w00000AR21lAAD,AUM,0,0,0,0,0,USD,2959.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ7wAAF,2/15/2017,,3/5/2021,Evergreen,0,1821
1622,0013a00001ZzQ86,0013a00001ZzQ86AAF,0054w00000AWKwaAAH,AUM,0,0,0,0,0,AUD,2317.0,MSP,0,1,End User,Customer,2/1/2022,2/10/2022,0,0013a00001ZzQ86AAF,10/21/2016,,10/21/2016,Evergreen,0,1938
1623,0013a00001ZzQ89,0013a00001ZzQ89AAF,0054w00000AR2rrAAD,AUM,0,0,0,0,0,GBP,3706.0,MSP,0,3,End User,Customer,2/11/2022,2/10/2022,0,0013a00001ZzQ89AAF,7/3/2017,,12/22/2020,Evergreen,0,1683
1624,0013a00001ZzQ8D,0013a00001ZzQ8DAAV,0054w00000AR30tAAD,AUM,0,0,0,0,0,USD,6320.0,MSP,0,4,End User,Customer,2/2/2022,2/10/2022,0,0013a00001ZzQ8DAAV,12/6/2018,12/6/2023,12/7/2020,Renewable,1,1826
1625,0013a00001ZzQ8U,0013a00001ZzQ8UAAV,0054w00000AR21lAAD,AUM,0,0,0,0,0,AUD,871.0,MSP,0,5,End User,Customer,2/8/2022,2/10/2022,0,0013a00001ZzQ8UAAV,11/27/2015,,11/27/2015,Evergreen,0,2267
1626,0013a00001ZzQ8e,0013a00001ZzQ8eAAF,0054w00000AR3YHAA1,AUM,0,0,0,0,0,USD,2245.0,MSP,0,2,End User,Customer,2/3/2022,1/31/2022,0,0013a00001ZzQ8eAAF,10/14/2016,6/13/2021,10/14/2016,Evergreen,0,1703
1627,0013a00001ZzQ8n,0013a00001ZzQ8nAAF,0054w00000AWM1RAAX,AUM,0,0,0,0,0,EUR,495777000000000.0,MSP,0,1,End User,Customer,1/18/2022,2/9/2022,0,0013a00001ZzQ8nAAF,3/5/2018,,3/5/2018,Evergreen,0,1438
1628,0013a00001ZzQ8o,0013a00001ZzQ8oAAF,0053a00000K4glZAAR,AUM,0,0,0,0,0,USD,4724.0,MSP,0,3,End User,Customer,1/28/2022,2/10/2022,0,0013a00001ZzQ8oAAF,2/16/2018,,2/16/2018,Evergreen,0,1455
1629,0013a00001ZzQ8r,0013a00001ZzQ8rAAF,0054w00000AWTxXAAX,AUM,0,0,0,0,0,USD,1770.0,MSP,0,2,End User,Customer,2/2/2022,2/10/2022,0,0013a00001ZzQ8rAAF,10/11/2021,12/31/2024,1/1/2022,Renewable,1,1177
1630,0013a00001ZzQ8z,0013a00001ZzQ8zAAF,0054w00000AWYbRAAX,AUM,0,0,0,0,0,CAD,6173.0,MSP,0,4,End User,Customer,2/10/2022,2/10/2022,0,0013a00001ZzQ8zAAF,11/28/2018,1/25/2023,11/28/2018,Renewable,1,1519
1631,0013a00001ZzQ90,0013a00001ZzQ90AAF,0053a00000PeLNEAA3,AUM,0,0,0,0,0,USD,6267.0,MSP,1,3,End User,Customer,1/26/2022,2/5/2022,0,0013a00001ZzQ90AAF,11/30/2018,,11/30/2018,Evergreen,0,1168
1632,0013a00001ZzQ99,0013a00001ZzQ99AAF,0054w00000AWOdwAAH,AUM,0,0,0,0,0,USD,8757.0,MSP,0,4,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ99AAF,5/14/2020,5/13/2023,12/15/2020,Renewable,1,1094
1633,0013a00001ZzQ9G,0013a00001ZzQ9GAAV,0054w00000AWX2LAAX,AUM,0,0,0,0,0,USD,6199.0,MSP,0,1,End User,Customer,1/25/2022,2/10/2022,0,0013a00001ZzQ9GAAV,11/29/2018,,11/29/2018,Evergreen,0,1169
1634,0013a00001ZzQ9H,0013a00001ZzQ9HAAV,0054w00000AR2pRAAT,AUM,0,0,0,0,0,CAD,6235.0,MSP,0,1,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQ9HAAV,11/30/2018,,11/30/2018,Evergreen,0,1168
1635,0013a00001ZzQ9V,0013a00001ZzQ9VAAV,0054w00000AR30tAAD,AUM,0,0,0,0,0,USD,6211.0,MSP,0,1,End User,Customer,1/21/2022,2/10/2022,0,0013a00001ZzQ9VAAV,11/29/2018,,11/29/2018,Evergreen,0,1169
1636,0013a00001ZzQ9X,0013a00001ZzQ9XAAV,0053a00000POk5iAAD,AUM,0,0,0,0,0,USD,6183.0,MSP,0,4,End User,Customer,1/31/2022,2/10/2022,0,0013a00001ZzQ9XAAV,11/28/2018,4/25/2022,11/28/2018,Renewable,1,1244
1637,0013a00001ZzQ9Y,0013a00001ZzQ9YAAV,0054w00000AWOcAAAX,AUM,0,0,0,0,0,USD,8102.0,MSP,0,1,End User,Customer,2/10/2022,2/10/2022,0,0013a00001ZzQ9YAAV,12/23/2019,12/22/2022,12/23/2019,Renewable,1,1095
1638,0013a00001ZzQ9g,0013a00001ZzQ9gAAF,0054w00000AR1dtAAD,AUM,0,0,0,0,0,ZAR,515949000000000.0,MSP,0,5,End User,Customer,1/25/2022,2/9/2022,0,0013a00001ZzQ9gAAF,3/19/2018,,3/19/2018,Evergreen,0,1424
1639,0013a00001ZzQ9j,0013a00001ZzQ9jAAF,0054w00000AR2rrAAD,AUM,0,0,0,0,0,EUR,1066330000000000.0,MSP,0,2,End User,Customer,2/2/2022,2/9/2022,0,0013a00001ZzQ9jAAF,4/12/2019,4/12/2024,4/13/2021,Renewable,1,1827
1640,0013a00001ZzQ9z,0013a00001ZzQ9zAAF,005j000000C0Vd6AAF,AUM,0,0,0,0,0,USD,2595.0,MSP,0,0,End User,Customer,8/30/2021,10/30/2021,0,0013a00001ZzQ9zAAF,11/18/2016,4/2/2020,11/18/2016,Evergreen,0,1231
1641,0013a00001ZzQA1,0013a00001ZzQA1AAN,0054w00000AWViUAAX,AUM,0,0,0,0,0,USD,4779.0,MSP,0,3,End User,Customer,2/10/2022,2/10/2022,0,0013a00001ZzQA1AAN,2/28/2018,,12/29/2020,Evergreen,0,1443
1642,0013a00001ZzQA2,0013a00001ZzQA2AAN,0054w00000AWfoNAAT,AUM,0,0,0,0,0,USD,3765.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQA2AAN,7/20/2017,,2/24/2021,Evergreen,0,1666
1643,0013a00001ZzQAG,0013a00001ZzQAGAA3,0054w00000AR2pRAAT,AUM,0,0,0,0,0,USD,6056.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQAGAA3,11/22/2018,,11/22/2018,Evergreen,0,1176
1644,0013a00001ZzQAI,0013a00001ZzQAIAA3,0053a00000PeLNEAA3,AUM,0,0,0,0,0,USD,3988.0,General Business,1,4,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQAIAA3,8/31/2017,1/27/2024,1/28/2022,Renewable,1,2340
1645,0013a00001ZzQAM,0013a00001ZzQAMAA3,0054w00000AR21lAAD,AUM,0,0,0,0,0,USD,1180.0,MSP,0,1,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQAMAA3,2/24/2016,3/23/2023,3/24/2021,Renewable,1,2584
1646,0013a00001ZzQAl,0013a00001ZzQAlAAN,0054w00000AWVg4AAH,AUM,0,0,0,0,0,USD,1997.0,MSP,0,0,End User,Customer,1/25/2022,2/10/2022,0,0013a00001ZzQAlAAN,8/26/2016,,8/26/2016,Evergreen,0,1994
1647,0013a00001ZzQAx,0013a00001ZzQAxAAN,0054w00000AR2pRAAT,AUM,0,0,0,0,0,USD,4320.0,MSP,0,4,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQAxAAN,11/17/2017,6/16/2024,6/17/2021,Renewable,1,2403
1648,0013a00001ZzQAz,0013a00001ZzQAzAAN,005j000000C0Vd6AAF,AUM,0,0,0,0,0,GBP,876560000000000.0,MSP,0,1,End User,Customer,12/17/2021,8/20/2021,0,0013a00001ZzQAzAAN,11/29/2018,6/2/2020,11/29/2018,Evergreen,0,551
1649,0013a00001ZzQB0,0013a00001ZzQB0AAN,0054w00000AR0kPAAT,AUM,0,0,0,0,0,GBP,878070000000000.0,MSP,0,1,End User,Customer,2/9/2022,2/9/2022,0,0013a00001ZzQB0AAN,11/30/2018,,11/30/2018,Evergreen,0,1168
1650,0013a00001ZzQB9,0013a00001ZzQB9AAN,0053a00000PejmSAAR,AUM,0,0,0,0,0,USD,153.0,MSP,0,10,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQB9AAN,12/21/2015,,2/22/2021,Evergreen,0,2243
1651,0013a00001ZzQBC,0013a00001ZzQBCAA3,0054w00000AR21qAAD,AUM,0,0,0,0,0,USD,6180.0,MSP,0,4,Reseller,Customer,1/19/2022,2/3/2022,0,0013a00001ZzQBCAA3,11/28/2018,4/27/2021,4/28/2021,Evergreen,0,881
1652,0013a00001ZzQBc,0013a00001ZzQBcAAN,0053a00000K45ZlAAJ,,0,0,0,0,0,EUR,876298000000000.0,MSP,0,1,End User,Customer,12/10/2021,2/9/2022,0,0013a00001ZzQBcAAN,11/29/2018,,11/29/2018,Evergreen,0,1169
1653,0013a00001ZzQBd,0013a00001ZzQBdAAN,0053a00000K45ZlAAJ,,0,0,0,0,0,USD,876402000000000.0,MSP,0,1,End User,Customer,12/10/2021,2/9/2022,0,0013a00001ZzQBdAAN,11/29/2018,,11/29/2018,Evergreen,0,1169
1654,0013a00001ZzQBk,0013a00001ZzQBkAAN,0054w00000AWKXpAAP,AUM,0,0,0,0,0,USD,4754.0,MSP,0,3,End User,Customer,2/10/2022,2/10/2022,0,0013a00001ZzQBkAAN,2/22/2018,,2/22/2018,Evergreen,0,1449
1655,0013a00001ZzQBn,0013a00001ZzQBnAAN,0054w00000AWM1RAAX,AUM,0,0,0,0,0,GBP,568224000000000.0,MSP,0,3,End User,Customer,3/16/2022,2/9/2022,0,0013a00001ZzQBnAAN,4/25/2018,11/30/2023,12/1/2020,Evergreen,0,2045
1656,0013a00001ZzQBu,0013a00001ZzQBuAAN,0053a00000Q9T9CAAV,AUM,0,0,0,0,0,USD,4627.0,MSP,0,6,Reseller,Customer,2/1/2022,2/10/2022,0,0013a00001ZzQBuAAN,1/29/2018,,2/2/2021,Evergreen,0,1473
1657,0013a00001ZzQBv,0013a00001ZzQBvAAN,0053a00000POk5iAAD,AUM,0,0,0,0,0,USD,1669.0,MSP,0,6,End User,Customer,2/8/2022,2/10/2022,0,0013a00001ZzQBvAAN,6/13/2016,9/12/2022,12/24/2020,Renewable,1,2282
1658,0013a00001ZzQC9,0013a00001ZzQC9AAN,0053a00000K45ZlAAJ,,0,0,0,0,0,EUR,654259000000000.0,MSP,0,3,End User,Customer,12/10/2021,2/9/2022,0,0013a00001ZzQC9AAN,6/25/2018,,6/25/2018,Evergreen,0,1326
1659,0013a00001ZzQCB,0013a00001ZzQCBAA3,0053a00000POk5iAAD,AUM,0,0,0,0,0,USD,4619.0,MSP,1,8,End User,Customer,2/1/2022,2/10/2022,0,0013a00001ZzQCBAA3,1/29/2018,1/21/2023,12/22/2021,Renewable,1,1818
1660,0013a00001ZzQCE,0013a00001ZzQCEAA3,0053a00000PejmSAAR,AUM,0,0,0,0,0,USD,5065.0,MSP,0,1,End User,Customer,1/19/2022,1/7/2022,0,0013a00001ZzQCEAA3,5/9/2018,8/8/2021,8/9/2021,Evergreen,0,1187
1661,0013a00001ZzQCH,0013a00001ZzQCHAA3,0054w00000AWViUAAX,AUM,0,0,0,0,0,USD,2096.0,MSP,0,4,End User,Customer,1/25/2022,2/10/2022,0,0013a00001ZzQCHAA3,9/30/2016,9/23/2023,5/28/2022,Renewable,1,2549
1662,0013a00001ZzQCI,0013a00001ZzQCIAA3,0054w00000AWUTxAAP,AUM,0,0,0,0,0,USD,8014.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQCIAA3,12/2/2019,12/1/2022,12/2/2019,Renewable,1,1095
1663,0013a00001ZzQCQ,0013a00001ZzQCQAA3,0053a00000PdknFAAR,AUM,0,0,0,0,0,GBP,475928000000000.0,MSP,0,7,End User,Customer,1/18/2022,2/9/2022,0,0013a00001ZzQCQAA3,2/19/2018,12/18/2023,12/19/2020,Evergreen,0,2128
1664,0013a00001ZzQCV,0013a00001ZzQCVAA3,0054w00000AR21qAAD,AUM,0,0,0,0,0,USD,3851.0,MSP,0,11,End User,Customer,2/22/2022,2/10/2022,0,0013a00001ZzQCVAA3,8/4/2017,6/4/2023,6/5/2020,Renewable,1,2130
1665,0013a00001ZzQCc,0013a00001ZzQCcAAN,0054w00000AR30tAAD,AUM,0,0,0,0,0,CAD,2975.0,MSP,0,0,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQCcAAN,2/9/2017,,2/9/2017,Evergreen,0,1827
1666,0013a00001ZzQCh,0013a00001ZzQChAAN,0054w00000AWTxcAAH,AUM,0,0,0,0,0,USD,4731.0,MSP,0,0,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQChAAN,2/19/2018,,2/19/2018,Evergreen,0,1452
1667,0013a00001ZzQCk,0013a00001ZzQCkAAN,0054w00000AWJe6AAH,AUM,0,0,0,0,0,USD,4091.0,MSP,0,1,End User,Customer,1/19/2022,2/2/2022,0,0013a00001ZzQCkAAN,9/27/2017,12/25/2020,12/26/2020,Evergreen,0,1185
1668,0013a00001ZzQCp,0013a00001ZzQCpAAN,0053a00000K45ZlAAJ,,0,0,0,0,0,EUR,358227000000000.0,MSP,0,1,End User,Customer,12/10/2021,9/18/2021,0,0013a00001ZzQCpAAN,11/28/2017,,11/28/2017,Evergreen,0,1535
1669,0013a00001ZzQCt,0013a00001ZzQCtAAN,0054w00000AWbXXAA1,AUM,0,0,0,0,0,GBP,1389190000000000.0,MSP,0,2,End User,Customer,2/9/2022,2/9/2022,0,0013a00001ZzQCtAAN,11/26/2019,11/25/2022,11/26/2019,Renewable,1,1095
1670,0013a00001ZzQCv,0013a00001ZzQCvAAN,0054w00000AQzJcAAL,AUM,0,0,0,0,0,USD,4404.0,MSP,0,1,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQCvAAN,12/11/2017,,2/12/2021,Evergreen,0,1522
1671,0013a00001ZzQD0,0013a00001ZzQD0AAN,0054w00000AWNrTAAX,AUM,0,0,0,0,0,AUD,6210.0,MSP,0,2,End User,Customer,12/6/2021,2/10/2022,0,0013a00001ZzQD0AAN,11/29/2018,11/27/2022,11/28/2021,Renewable,1,1459
1672,0013a00001ZzQD4,0013a00001ZzQD4AAN,0054w00000AWX26AAH,AUM,0,0,0,0,0,USD,3357.0,MSP,0,3,End User,Customer,2/8/2022,2/10/2022,0,0013a00001ZzQD4AAN,5/3/2017,8/2/2022,8/3/2021,Renewable,1,1917
1673,0013a00001ZzQDE,0013a00001ZzQDEAA3,0053a00000Q8TwqAAF,AUM,0,0,0,0,0,USD,6321.0,MSP,0,9,End User,Customer,2/9/2022,2/10/2022,0,0013a00001ZzQDEAA3,12/7/2018,,12/7/2018,Evergreen,0,1161
1674,0013a00001ZzQDK,0013a00001ZzQDKAA3,005j000000C0Vd6AAF,AUM,0,0,0,0,0,EUR,878064000000000.0,MSP,0,2,End User,Customer,7/13/2021,8/20/2021,0,0013a00001ZzQDKAA3,11/30/2018,6/29/2021,12/31/2019,Renewable,1,942
1675,0013a00001ZzQDR,0013a00001ZzQDRAA3,0054w00000AWX2GAAX,AUM,0,0,0,0,0,USD,4750.0,MSP,0,1,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQDRAA3,2/22/2018,,2/22/2018,Evergreen,0,1449
1676,0013a00001ZzQDS,0013a00001ZzQDSAA3,0054w00000AR2rrAAD,AUM,0,0,0,0,0,EUR,330029000000000.0,MSP,0,2,End User,Customer,2/2/2022,2/9/2022,0,0013a00001ZzQDSAA3,11/8/2017,12/6/2022,12/7/2019,Renewable,1,1854
1677,0013a00001ZzQDe,0013a00001ZzQDeAAN,0054w00000AR21lAAD,AUM,0,0,0,0,0,USD,1686.0,MSP,0,2,End User,Customer,2/2/2022,2/10/2022,0,0013a00001ZzQDeAAN,6/22/2016,,6/22/2016,Evergreen,0,2059
1678,0013a00001ZzQDf,0013a00001ZzQDfAAN,0054w00000AR3YCAA1,AUM,0,0,0,0,0,USD,4783.0,MSP,0,10,Reseller,Customer,2/7/2022,2/10/2022,0,0013a00001ZzQDfAAN,2/28/2018,3/31/2025,4/1/2022,Evergreen,0,2588
1679,0013a00001ZzQDg,0013a00001ZzQDgAAN,0054w00000AWViUAAX,AUM,0,0,0,0,0,USD,4822.0,MSP,0,4,End User,Customer,2/1/2022,2/10/2022,0,0013a00001ZzQDgAAN,3/12/2018,,3/8/2021,Evergreen,0,1431
1680,0013a00001ZzQDi,0013a00001ZzQDiAAN,0054w00000AWOdwAAH,AUM,0,0,0,0,0,USD,2487.0,MSP,0,5,End User,Customer,1/31/2022,2/10/2022,0,0013a00001ZzQDiAAN,3/7/2018,,2/18/2021,Evergreen,0,1436
1681,0013a00001ZzQDj,0013a00001ZzQDjAAN,0054w00000AWVg4AAH,AUM,0,0,0,0,0,USD,3717.0,MSP,0,1,End User,Customer,2/8/2022,2/10/2022,0,0013a00001ZzQDjAAN,7/6/2017,,7/6/2017,Evergreen,0,1680
1682,0013a00001ZzQDs,0013a00001ZzQDsAAN,0054w00000AWTxcAAH,AUM,0,0,0,0,0,USD,11203.0,MSP,0,1,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQDsAAN,8/16/2021,8/15/2024,8/16/2021,Renewable,1,1095
1683,0013a00001ZzQDy,0013a00001ZzQDyAAN,0054w00000AWVg4AAH,AUM,0,0,0,0,0,USD,7810.0,MSP,0,2,End User,Customer,2/8/2022,2/10/2022,0,0013a00001ZzQDyAAN,10/24/2019,11/23/2022,3/9/2021,Renewable,1,1126
1684,0013a00001ZzQDz,0013a00001ZzQDzAAN,0053a00000K4glZAAR,AUM,0,0,0,0,0,USD,5920.0,MSP,0,2,End User,Customer,1/27/2022,2/10/2022,0,0013a00001ZzQDzAAN,11/8/2018,,11/8/2018,Evergreen,0,1190
1685,0013a00001ZzQE0,0013a00001ZzQE0AAN,0053a00000K4qNXAAZ,AUM,0,0,0,0,0,USD,291.0,MSP,1,6,End User,Customer,1/12/2022,2/10/2022,0,0013a00001ZzQE0AAN,12/26/2017,,1/3/2021,Evergreen,0,1507
1686,0013a00001ZzQE9,0013a00001ZzQE9AAN,0054w00000AWYc5AAH,AUM,0,0,0,0,0,CAD,3991.0,MSP,0,3,End User,Customer,2/2/2022,2/10/2022,0,0013a00001ZzQE9AAN,8/31/2017,10/31/2019,10/1/2019,Renewable,1,791
1687,0013a00001ZzQEB,0013a00001ZzQEBAA3,005j000000C0Vd6AAF,AUM,0,0,0,0,0,USD,4718.0,MSP,0,1,End User,Customer,9/1/2021,8/19/2021,0,0013a00001ZzQEBAA3,2/15/2018,5/14/2021,5/15/2021,Evergreen,0,1184
1688,0013a00001ZzQEC,0013a00001ZzQECAA3,0053a00000POk5iAAD,AUM,0,0,0,0,0,USD,4678.0,MSP,0,1,End User,Customer,1/31/2022,2/10/2022,0,0013a00001ZzQECAA3,2/6/2018,,2/6/2018,Evergreen,0,1465
1689,0013a00001ZzQEE,0013a00001ZzQEEAA3,0053a00000Q8txVAAR,AUM,0,0,0,0,0,USD,5153.0,MSP,0,2,End User,Customer,1/19/2022,2/10/2022,0,0013a00001ZzQEEAA3,6/4/2018,,6/4/2018,Evergreen,0,1347
1690,0013a00001ZzQEG,0013a00001ZzQEGAA3,0053a00000K45ZlAAJ,,0,0,0,0,0,USD,1526350000000000.0,MSP,0,1,End User,Customer,12/10/2021,11/24/2021,0,0013a00001ZzQEGAA3,3/3/2020,8/18/2020,3/3/2020,Evergreen,0,168
1691,0013a00001ZzQEH,0013a00001ZzQEHAA3,0053a00000K45ZlAAJ,,0,0,0,0,0,EUR,878067000000000.0,MSP,0,1,End User,Customer,12/10/2021,2/9/2022,0,0013a00001ZzQEHAA3,11/30/2018,,11/30/2018,Evergreen,0,1168
1692,0013a00001ZzQEQ,0013a00001ZzQEQAA3,005j000000C0Vd6AAF,AUM,0,0,0,0,0,USD,4635.0,MSP,0,1,End User,Customer,6/18/2021,8/19/2021,0,0013a00001ZzQEQAA3,1/30/2018,1/20/2020,1/30/2018,Evergreen,0,720
1693,0013a00001ZzQEV,0013a00001ZzQEVAA3,0054w00000AR21qAAD,AUM,0,0,0,0,0,USD,6269.0,MSP,0,1,End User,Customer,1/31/2022,2/10/2022,0,0013a00001ZzQEVAA3,11/30/2018,,11/30/2018,Evergreen,0,1168
1694,0013a00001ZzQEW,0013a00001ZzQEWAA3,0054w00000AWX1NAAX,AUM,0,0,0,0,0,USD,386.0,MSP,1,2,End User,Customer,2/1/2022,2/10/2022,0,0013a00001ZzQEWAA3,6/30/2015,,6/30/2015,Evergreen,0,2417
1695,0013a00001ZzQEX,0013a00001ZzQEXAA3,0054w00000AR3YHAA1,AUM,0,0,0,0,0,USD,4814.0,MSP,0,5,End User,Customer,2/10/2022,2/10/2022,0,0013a00001ZzQEXAA3,3/9/2018,,3/9/2018,Evergreen,0,1434
1696,0013a00001ZzQEa,0013a00001ZzQEaAAN,0054w00000AR3YHAA1,AUM,0,0,0,0,0,USD,3302.0,MSP,0,3,End User,Customer,1/31/2022,2/10/2022,0,0013a00001ZzQEaAAN,4/25/2017,2/13/2024,2/14/2021,Renewable,1,2485
